store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
318900,-118.60532803812653,34.20308628767605,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
3189100,-81.68161179296328,30.393171582774116,"Jacksonville, FL","Jacksonville, FL",Large Metro (2),Exurban,South,South Atlantic
31900,-72.50257364959728,41.819241075947744,"Hartford-West Hartford-East Hartford, CT","Hartford & New Haven, CT",Large Metro (2),Exurban,Northeast,New England
319000,-119.80907744827728,36.764624603317436,"Fresno, CA","Fresno-Visalia, CA",Large Metro (2),Suburban,West,Pacific
319200,-84.91220416615427,32.467969569835304,"Columbus, GA-AL","Columbus et al, GA-AL",Medium City (4),Exurban,South,South Atlantic
3192100,-81.85421082064673,41.38810673055817,"Cleveland-Elyria, OH","Cleveland et al, OH",Large Metro (2),Exurban,Midwest,East North Central
3192400,-122.144098,47.683558,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA",Very Large Metro (1),Suburban,West,Pacific
3192800,-84.17001552473558,34.12525389436387,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Exurban,South,South Atlantic
3193000,-80.08533577600956,40.397148896429655,"Pittsburgh, PA","Pittsburgh, PA",Large Metro (2),Light Suburban,Northeast,Middle Atlantic
3193500,-77.426549,38.255524,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington et al, DC-MD",Very Large Metro (1),Rural,South,South Atlantic
3193900,-98.517315,29.394285,"San Antonio-New Braunfels, TX","San Antonio, TX",Very Large Metro (1),Suburban,South,West South Central
3194200,-120.05632358638552,36.939072394379366,"Madera, CA","Fresno-Visalia, CA",Small City (5),Exurban,West,Pacific
3194900,-90.15215268813748,33.51492058129805,"Greenwood, MS","Greenwood-Greenville, MS",Small Town (6),Rural,South,East South Central
319500,-82.39445705181073,28.053380754001928,"Tampa-St. Petersburg-Clearwater, FL","Tampa et al, FL",Very Large Metro (1),Suburban,South,South Atlantic
3195100,-86.8153388587909,40.41448370415696,"Lafayette-West Lafayette, IN","Lafayette, IN",Medium City (4),Exurban,Midwest,East North Central
3195400,-81.15462864315833,28.51297558385714,"Orlando-Kissimmee-Sanford, FL","Orlando et al, FL",Very Large Metro (1),Exurban,South,South Atlantic
3195500,-81.45990277836839,28.510125445521503,"Orlando-Kissimmee-Sanford, FL","Orlando et al, FL",Very Large Metro (1),Light Suburban,South,South Atlantic
3195600,-81.42952181361332,28.494323798853788,"Orlando-Kissimmee-Sanford, FL","Orlando et al, FL",Very Large Metro (1),Suburban,South,South Atlantic
3195800,-81.29481069419607,28.19717166826514,"Orlando-Kissimmee-Sanford, FL","Orlando et al, FL",Very Large Metro (1),Rural,South,South Atlantic
3195900,-111.93912047455422,33.39479295687097,"Phoenix-Mesa-Scottsdale, AZ","Phoenix et al, AZ",Very Large Metro (1),Light Urban,West,Mountain
319600,-82.4301490318096,28.032939225465615,"Tampa-St. Petersburg-Clearwater, FL","Tampa et al, FL",Very Large Metro (1),Suburban,South,South Atlantic
3196200,-82.15490703687513,27.079354442779476,"North Port-Sarasota-Bradenton, FL","Tampa et al, FL",Large City (3),Rural,South,South Atlantic
3196300,-72.62620698897457,42.58737024412963,"Greenfield Town, MA","Springfield-Holyoke, MA",Small Town (6),Rural,Northeast,New England
3196400,-75.21104040377216,40.67718139604837,"Allentown-Bethlehem-Easton, PA-NJ","Philadelphia, PA",Large City (3),Light Suburban,Northeast,Middle Atlantic
3196900,-80.4081221216676,26.030611299875524,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Ft. Lauderdale, FL",Very Large Metro (1),Exurban,South,South Atlantic
3197000,-87.65552995892892,41.975108460109986,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Light Urban,Midwest,East North Central
3197400,-76.531861,36.954146,"Virginia Beach-Norfolk-Newport News, VA-NC","Norfolk et al, VA",Large Metro (2),Rural,South,South Atlantic
3197500,-73.95822159973166,40.81527541533747,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Super Urban,Northeast,Middle Atlantic
3197700,-116.6214892405762,43.70662058251508,"Boise City, ID","Boise, ID",Large City (3),Rural,West,Mountain
3197900,-76.539728,37.130346,"Virginia Beach-Norfolk-Newport News, VA-NC","Norfolk et al, VA",Large Metro (2),Exurban,South,South Atlantic
3198500,-121.94522091904778,45.34389231452046,"Portland-Vancouver-Hillsboro, OR-WA","Portland, OR",Very Large Metro (1),Rural,West,Pacific
3198800,-93.53677810535261,43.41991598123923,,"Rochester et al, MN-IA",Small Community (7),Rural,Midwest,West North Central
3199000,-85.24703205713503,43.08912782910712,"Ionia, MI","Grand Rapids et al, MI",Small Town (6),Rural,Midwest,East North Central
3199300,-82.84269551136,34.52534633139906,"Greenville-Anderson-Mauldin, SC","Greenville et al, SC-NC",Large City (3),Rural,South,South Atlantic
3199900,-85.4860740829213,41.14964186454696,"Fort Wayne, IN","Ft. Wayne, IN",Medium City (4),Rural,Midwest,East North Central
3200400,-121.66164794868413,39.282168690872346,"Yuba City, CA","Sacramento et al, CA",Small City (5),Rural,West,Pacific
3201100,-116.95049791018312,32.80731003091678,"San Diego-Carlsbad, CA","San Diego, CA",Very Large Metro (1),Light Suburban,West,Pacific
3201300,-76.2471451309601,39.479295624065784,"Baltimore-Columbia-Towson, MD","Baltimore, MD",Very Large Metro (1),Exurban,South,South Atlantic
3201500,-84.6232160332086,33.94572229821894,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Rural,South,South Atlantic
320200,-117.95864030975102,33.819526430063966,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
3203300,-122.294723,47.199804,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA",Very Large Metro (1),Exurban,West,Pacific
3203900,-84.6694826544062,33.734704712408494,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Rural,South,South Atlantic
320400,-86.09519943242678,39.78009135411181,"Indianapolis-Carmel-Anderson, IN","Indianapolis, IN",Large Metro (2),Light Suburban,Midwest,East North Central
3204000,-119.16529490759825,38.99423442789166,"Fernley, NV","Reno, NV",Small Town (6),Rural,West,Mountain
3204400,-83.2484920352472,42.06818818622983,"Detroit-Warren-Dearborn, MI","Detroit, MI",Very Large Metro (1),Rural,Midwest,East North Central
3205000,-73.89105681100783,40.82117476605096,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Urban,Northeast,Middle Atlantic
3205200,-80.3763220035333,27.251073965467572,"Port St. Lucie, FL","W. Palm Beach et al, FL",Large City (3),Exurban,South,South Atlantic
3205400,-104.86570916820622,38.93045521897156,"Colorado Springs, CO","Colorado Sprgs et al, CO",Large City (3),Exurban,West,Mountain
320600,-89.89350830959968,35.205815976814684,"Memphis, TN-MS-AR","Memphis, TN",Large Metro (2),Exurban,South,East South Central
3206300,-82.63577854049043,27.768379234869137,"Tampa-St. Petersburg-Clearwater, FL","Tampa et al, FL",Very Large Metro (1),Light Suburban,South,South Atlantic
